href,title,text,comments
https://profile.ru/news/politics/v-mid-yaponii-zayavili-chto-strana-predostavila-ukraine-pomoshh-na-7-6-milliarda-1329021/,"В МИД Японии заявили, что страна предоставила Украине помощь на $7,6 миллиарда","
Власти Японии к настоящему времени предоставили Украине гуманитарной и финансовой помощи на общую сумму $7,6 млрд, сообщил 24 мая глава МИД Японии Ёсимаса Хаяси в ходе обсуждения бюджета в Палате представителей (нижняя палата парламента).
""Мы выделили Украине в общей сложности $7,6 млрд на различные экономические нужды, восстановление хозяйства, в виде гуманитарной, финансовой, продовольственной и прочей помощи"", – цитирует министра ТАСС.
По словам Хаяси, в Японию приехала украинская делегация для изучения опыта японской стороны по преодолению последствий стихийных бедствий, восстановлению пострадавшей инфраструктуры. Глава МИД Японии отметил, что в озвученную сумму помощи также входят расходы по подготовке специалистов по разминированию из Украины.
Власти Японии в мае объявили о решении передать Украине 100 грузовиков и 30 тыс. продовольственных пакетов для военнослужащих. В Токио также выразили готовность принять на лечение раненых бойцов ВСУ. В Минобороны Японии заявляли, что намерены оказать максимальную поддержку Киеву. ",
https://profile.ru/news/accidents/belgorodskaya-oblast-podverglas-novoj-atake-bespilotnikov-1329025/,Белгородская область подверглась новой атаке беспилотников,"
Ночью в среду, 24 мая, в Белгородской области было зафиксировано большое количество атак беспилотников. С большинством из них справились средства ПВО, однако есть повреждения в Белгороде, а также в Борисовском и Белгородском районе, сообщил губернатор региона Вячеслав Гладков.
В своем Telegram-канале он написал, что из-за атак повреждения получили легковой транспорт, частные дома и административные здания. ""Завершим подомовой обход – буду иметь более точную информацию. Самое главное, что пострадавших нет совсем"", – отметил Гладков.
Согласно его данным, ночью в поселке Томаровка Яковлевского округа с беспилотников дважды сбросили взрывные устройства на два административных здания. Погибших, пострадавших и возгораний нет. На одном здании была повреждена кровля, а на другом – кровля и плита перекрытия.
В Грайворонском округе повреждения получил газопровод, есть небольшой пожар. В течение суток все будет восстановлено. Причины возгорания выясняют следственные органы. Из-за случившегося от газа отключены Безымено и свинокомплекс.
Помимо этого, идет восстановление электросетей, которые были повреждены во время захода диверсионно-разведывательной группы. Работы по восстановлению электроснабжения должны быть завершены в Грайворонском округе до 15–16 часов среды. После этого восстановятся сотовая связь и водоснабжение.
В больницах на данный момент остаются девять человек, три из которых в тяжелом состоянии в реанимации. Остальные – уже в отделениях.
Свыше 550 человек из Грайворонского округа находятся в пунктах временного размещения. Общий подсчет ущерба в округе за последние дни еще не завершен.
22 мая в Грайворонский округ вошла диверсионно-разведывательная группа ВСУ. На следующий день ее удалось отбросить на территорию Украины, после чего в области отменили режим контртеррористической операции. Ночью в среду стало известно, что на проезжую часть в Белгороде с беспилотного аппарата было сброшено взрывное устройство. Оно повредило легковой автомобиль. ",
https://profile.ru/news/society/klimatolog-rasskazal-o-sezone-uraganov-v-moskve-1329015/,Климатолог рассказал о сезоне ураганов в Москве,"
В столичном регионе в конце мая – начале июня чаще всего фиксируются шквалистые ветры и ураганы, однако на данный момент погода спокойная. Об этом в среду, 24 мая, рассказал замдиректора Института физики атмосферы имени Обухова Российской академии наук Владимир Семенов.
""Вторая половина мая и первая половина июня – это время, когда наиболее сильный температурный контраст между северными морями и европейской частью России. Поэтому если случаются холодные вторжения, то именно в это время чаще всего бывают шквалы, сильный порывистый ветер, как в 2017 году было в Москве"", – пояснил специалист в беседе с агентством городских новостей ""Москва"".
При этом пока что погода в столице дождливая, а сильной жары не было. В связи с этим в ближайшие несколько дней ураганов не будет. Обычно их следует ждать после периода жаркой погоды, когда воздух наполняется влагой, заключил Семенов.
Согласно прогнозам метеорологов, в ближайшие выходные в Москву придет похолодание. А метеорологическое лето в столице стартует с опозданием. ",
https://profile.ru/news/economy/rossijskij-holding-segezha-group-prodal-evropejskie-aktivy-za-e1-1329003/,Российский холдинг Segezha Group продал европейские активы за €1,"
Российский лесопромышленный холдинг Segezha Group, входящий в АФК ""Система"", продал свою дочернее предприятие Segezha Packaging примерно за €1, сообщил 24 мая президент компании Михаил Шамолин. ""Дочка"" объединяет 7 заводов по производству бумажной упаковки в нескольких странах Европы.
""Сделка была совершена примерно за $1 или €1, но с долгом, который на Segezha Packaging остался в районе €100 миллионов"", – цитирует Шамолина агентство ""Прайм"".
По его словам, продажа была единственным вариантом сохранения бизнеса в рабочем состоянии. Шамолин подчеркнул, что дочернее предприятие ""никогда особо EBITDA не давало"".
При этом компания уже нашла рынки сбыта продукции. Шамолин не стал раскрывать, кто был покупателем Segezha Packaging.
Заводы ""дочки"" Segezha находятся в ФРГ, Дании, Нидерландах, Италии, Чехии, Турции и Румынии их мощность составляет 704 млн бумажных мешков в год.
Segezha Group – холдинг с полным циклом лесозаготовки, основан в 2013 году. Компания арендует 15,7 млн га лесфонда, 84% потребностей производства покрывается за счет собственных ресурсов. ",
https://profile.ru/news/society/zhiteli-moskvy-mogut-vybrat-cveta-kotorymi-oboznachat-novye-linii-metro-1329001/,"Жители Москвы могут выбрать цвета, которыми обозначат новые линии метро","
Жители Москвы могут проголосовать за одну из четырех предложенных комбинаций цветов, которыми обозначат строящиеся линии столичного метрополитена – Троицкую, Рублево-Архангельскую и Бирюлевскую. Об этом в среду, 24 мая, рассказал мэр Москвы Сергей Собянин.
Согласно опубликованной в его блоге информации, голосование проходит на портале ""Активный гражданин"". ""Пора выбрать цвета, которыми новые линии будут обозначены на схеме Московского метрополитена. Это важный и ответственный выбор, ведь со временем цвета становятся народными названиями"", – сказано в сообщении.
На выбор жителям столицы представили четыре комбинации цветов:
лиловый, лавандовый и песочный;
изумрудный, графитовый и рубиновый;
сиреневый, графитовый и песочный;
оливковый, сиреневый и медный.
Собянин добавил: палитра цветов была подобрана таким образом, чтобы новые линии метрополитена не сливались на схеме с уже действующими ветками.
В конце марта Собянин рассказал, что первую очередь Троицкой линии метро запустят в 2024 году. Всего на ней будет 17 станций. ",
https://profile.ru/news/economy/cena-na-zoloto-vernulas-k-rostu-posle-nebolshogo-snizheniya-1328996/,Цена на золото вернулась к росту после небольшого снижения,"
Стоимость золота утром 24 мая демонстрирует рост после двух дней снижения, что подтверждается данными с торгов. По состоянию на 8.24 мск цена июньского фьючерса на золото на товарной бирже Comex (Commodity Exchange) растет на $5,25, до $1 979,75 за тройскую унцию. Одновременно июльский фьючерс на серебро снизился на 0,13%, до $23,593 за унцию.
Как пишет агентство ""Прайм"", трейдеры ждут публикацию протокола заседания ФРС США, выполняющего функции центробанка страны. В этом документе могут быть подсказки о монетарной политике надзорного органа.
Цены на золото зависят от различного рода сигналов ФРС. При этом на финансовые рынки также влияет и нерешенный вопрос с госдолгом США. 22 мая состоялась встреча президента США со спикером Палаты представителей Конгресса США, но по ее итогам стороны переговоров так и не пришли к единому мнению.
В Минфине США предупреждают законодателей, что к 1 июня власти, вероятно, не смогут обслуживать свои обязательства, если не увеличить лимит заимствований. Ситуация настолько обострилась, что привела к потере интереса у инвесторов к американским гособлигациям. ",
https://profile.ru/news/politics/reuters-premer-ministr-yaponii-iskljuchil-vstuplenie-strany-v-nato-1328995/,Reuters: премьер-министр Японии исключил вступление страны в НАТО,"
Япония не планирует вступать в НАТО, а вопрос открытия представительства Североатлантического альянса в Токио еще обсуждается. Об этом сообщил премьер-министр страны Фумио Кисида.
На заседании парламента в среду, 24 мая, он добавил, что ему на данный момент неизвестно о каком-либо конкретном решении НАТО относительно создания офиса. Слова Кисиды приводит Reuters.
При этом у Японии есть интерес в расширении сотрудничества с НАТО, в том числе в открытии представительства блока на территории страны, заявлял ранее японский посол в США. Если это случится, представительство Североатлантического альянса в стране будет первым офисом блока в Азии. К сказанному посол добавил, что Токио заинтересован в большей вовлеченности стран G7 в дела азиатского региона. ",
https://profile.ru/news/economy/kitajskij-juan-opustilsya-k-dollaru-pochti-do-minimuma-za-shest-mesyacev-1328983/,Китайский юань опустился к доллару почти до минимума за шесть месяцев,"
Народный банк Китая перед открытием торгов 24 мая установил срединный курс юаня на минимуме почти за шесть месяцев 7,0560 за $1, что на 0,33% меньше, чем днем ранее (7,0326). Китайский юань растерял весь рост, достигнутый с начала 2023 года против корзины валюты торговых партнеров. Такая ситуация вызвана напряженностью в отношениях Китая и США.
Как пишет агентство ""Прайм"" со ссылкой на трейдеров, на юань давит высокий спрос на валюту США. При этом власти КНР не делают шаги для замедления падения национальной валюты.
Накануне в комитете по делам Китая Палаты представителей Конгресса США посоветовали Минторгу США ввести ограничения в отношении производителя чипов Changxin Memory Technologies. Данную меру в Вашингтоне рассматривают как ответную после запрета Пекином продажи на территории страны чипов Micron Technology Inc.
Власти Китая полагают, что продукция американской компании Micron представляет угрозу кибербезопасности. Национальным операторам информационной инфраструктуры КНР запрещено приобретать эту продукцию. ",
https://profile.ru/news/politics/po-itogam-peregovorov-rossiya-i-kitaj-podpisali-5-dokumentov-1328984/,По итогам переговоров Россия и Китай подписали 5 документов,"
Ряд документов был подписан в среду, 24 мая, по итогам состоявшихся в Пекине переговоров между РФ и КНР. Их провели российский премьер-министр Михаил Мишустин и премьер Госсовета Китая Ли Цян при участии делегаций стран.
Так, между Россельхознадзором и Главным таможенным управлением Китая будет действовать протокол о требованиях к зерну. Кроме того, между этими ведомствами был подписан протокол о фитосанитарных требованиях к лекарственному растительному сырью, которое предназначается для китайской медицины и экспортируется из России.
Также стороны подписали меморандум о взаимопонимании между Министерством коммерции КНР и Минэкономразвития РФ об углублении инвестиционного сотрудничества в торговле услугами. Страны договорились развивать межрегиональную торговлю услугами, стимулировать предприятия к проведению совместных мероприятий в различных отраслях и поощрять участие предприятий двух стран в ярмарках и выставках, сообщает ТАСС.
Помимо этого, подписан меморандум о дружбе и сотрудничестве между Главным государственным управлением по физической культуре и спорту Китая и Минспорта РФ.
Также было принято совместное заявление России и Китая о намерениях по продлению пилотной программы ""Ускоренное патентное делопроизводство"" между Государственным управлением КНР по вопросам интеллектуальной собственности и Роспатентом.
Ранее Мишустин заявил, что российско-китайские отношения находятся сейчас на беспрецедентно высоком уровне. Принятые главами двух стран решения определили стратегические ориентиры для наращивания сотрудничества в восьми приоритетных областях. ",
https://profile.ru/news/politics/mishustin-70-raschetov-mezhdu-rossiej-i-kitaem-provodyatsya-v-nacvaljutah-1328979/,Мишустин: 70% расчетов между Россией и Китаем проводятся в нацвалютах,"
Власти Японии к настоящему времени предоставили Украине гуманитарной и финансовой помощи на общую сумму $7,6 млрд, сообщил 24 мая глава МИД Японии Ёсимаса Хаяси в ходе обсуждения бюджета в Палате представителей (нижняя палата парламента).
""Мы выделили Украине в общей сложности $7,6 млрд на различные экономические нужды, восстановление хозяйства, в виде гуманитарной, финансовой, продовольственной и прочей помощи"", – цитирует министра ТАСС.
По словам Хаяси, в Японию приехала украинская делегация для изучения опыта японской стороны по преодолению последствий стихийных бедствий, восстановлению пострадавшей инфраструктуры. Глава МИД Японии отметил, что в озвученную сумму помощи также входят расходы по подготовке специалистов по разминированию из Украины.
Власти Японии в мае объявили о решении передать Украине 100 грузовиков и 30 тыс. продовольственных пакетов для военнослужащих. В Токио также выразили готовность принять на лечение раненых бойцов ВСУ. В Минобороны Японии заявляли, что намерены оказать максимальную поддержку Киеву. ",
